,id,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
1540,66c758ff-88a5-43be-bb15-a03c873fc388,Dainel Jeans toxik ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND120,WHOLE_SALE,9,blue,000081,,2,cold_season,smooth,street,tight,work,1
1541,629a9496-bf22-4f2c-b8cb-fde9b8289f10,Makeup Tshirt daphnea ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND140,NO_MAINSTREAM,9,green_dark,164A0A,t-shirts,2,warm_season,smooth,casual,straight,work,2
1553,970cd885-7578-4a08-b3eb-c1c86884c53a,Logo Tshirt off ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND172,PREMIUM,9,black,000000,t-shirts,3,warm,smooth,casual,straight,freetime,2
1554,141ec45e-9981-4a20-8db5-b269af8e568c,Clara Skirt mini ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND54,MAINSTREAM,9,red,B11730,,3,warm,floral,boho,straight,work,1
1555,2b4fd149-9483-4482-bdaa-72b7800a280e,Over Top head ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND54,MAINSTREAM,9,ecru,ECE9D6,tops,2,warm,smooth,boho,loose,work,2
1556,cf8fc5c0-6e14-4b7d-bc9d-d525df80de12,Objmarly Cardigan almond ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND101,NO_MAINSTREAM,9,rust,B94600,cardigan,3,cold_season,smooth,boho,straight,work,2
1563,d288eb80-21ee-406a-a70f-e7221de5e00f,Desfatana Shirt cotton ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND150,MAINSTREAM,9,ecru,ECE9D6,shirt,3,warm,vertical_stripes,street,straight,work,2
1564,4f043918-306c-4cd7-9e91-46d6d0e9400e,Linen T-shirt stripes,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND83,MAINSTREAM,9,garnet,800000,t-shirts,2,warm,horizontal_stripes,boho,straight,freetime,2
1574,9c7f69a7-3ac7-4483-a9de-e8ebdc45929c,Shamburgo Jeans solid ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND163,NO_MAINSTREAM,9,ecru,ECE9D6,,2,warm_season,smooth,classic,tight,work,1
1575,6f5ffe76-aa34-4a45-abec-57a4b7978f07,Alba Dress light,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND4,WHOLE_SALE,9,blue_light,87CEFA,,3,warm,floral,boho,straight,work,1
1576,cbd140f8-e164-4c5a-89b9-a40f901ee469,Lidia Cardigan lace ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND134,MAINSTREAM,9,white,FFFFFF,cardigan,2,warm,smooth,boho,loose,work,2
1581,30c207d7-94ee-4368-9fe4-d12256e33f0b,Chino Pant belt ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND176,PREMIUM,9,brown_light,A57E62,,2,warm_season,smooth,classic,straight,work,1
1584,4f043918-306c-4cd7-9e91-46d6d0e9400e,Linen T-shirt stripes,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND83,MAINSTREAM,9,blue_dark,00008b,t-shirts,2,warm,horizontal_stripes,boho,straight,freetime,2
1594,d17e17c0-0246-430e-b658-c41dcdc1b86f,Susana Top rose ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,ecru,ECE9D6,tops,3,warm,floral,boho,straight,work,2
1597,43897fbc-b411-47bd-a487-0524fd7fe413,Arlet Skirt print,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND91,WHOLE_SALE,9,red,B11730,,3,warm,floral,boho,straight,freetime,1
1598,fbaa9b92-16de-456d-acc7-9f9fd98160ac,Jais Shirt majolica,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND91,WHOLE_SALE,9,blue_klein,0000FF,shirt,2,cold_season,retro,classic,straight,work,2
1601,fbaa9b92-16de-456d-acc7-9f9fd98160ac,Jais Shirt majolica,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND91,WHOLE_SALE,9,jade,3B6968,shirt,2,cold_season,retro,classic,straight,work,2
1610,2692a283-b8de-46f0-8f53-b4cd5d6ab4a8,Toronto Jeans denim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND161,NO_MAINSTREAM,9,white,FFFFFF,,2,cold_season,smooth,casual,straight,work,1
1629,bedf0f8c-1120-40dc-8f9d-26fd8f9358e7,Vneck Sweater edc ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND16,NO_MAINSTREAM,9,pink,FFC0CB,sweaters,2,cold_season,smooth,casual,loose,freetime,2
1632,6bcdcd81-c020-42a5-beb2-581c782e5095,Leessential Tshirt slim ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND138,PREMIUM,9,white,FFFFFF,t-shirts,2,warm,smooth,casual,straight,freetime,2
1652,61836ba7-f5ba-4bde-9d04-89afcf3c6f23,Visunset Cardigan stripes ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,pink,FFC0CB,cardigan,3,cold_season,horizontal_stripes,boho,straight,freetime,2
1653,966c098c-6c78-4ab6-bdce-01b6c323ca91,Onlmila Jeans ank ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND119,MAINSTREAM,9,khaki,666633,,2,warm_season,smooth,classic,tight,work,1
1656,6618843d-62ee-4d55-90e7-61ecc0d39e5e,Bud Top shell,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND134,MAINSTREAM,9,black,000000,tops,3,warm,floral,boho,straight,work,2
1664,e6ca4f03-d6af-407c-9332-4463d1e44c4b,Vianna T-shirt solid ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND83,MAINSTREAM,9,garnet,800000,t-shirts,2,warm_season,smooth,casual,loose,work,2
1686,73fba4f8-dce8-447a-874a-61a35177726a,Byisole Jumpsuit print ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND76,MAINSTREAM,9,black,000000,,3,warm,floral,boho,straight,work,1
1692,47c010a2-7be8-4731-87a6-39a7ac8ab1bf,Miniprint Skirt cerise ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND15,WHOLE_SALE,9,pink,FFC0CB,,2,warm,miniprint,boho,straight,work,1
1693,756f6fe9-cf40-487f-9cfc-bc8840e80ef2,Ultra Parka weight ,35405a7d-7018-440b-9d16-76206ac3e224,BRAND151,NO_MAINSTREAM,9,gray_light,D3D3D3,,2,cold_season,smooth,classic,tight,freetime,3
1696,92203bd8-74da-410c-a6cd-94b98913ef32,Shbasatin Cardigan knit,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND163,NO_MAINSTREAM,9,black,000000,cardigan,2,warm_season,smooth,classic,straight,work,2
1698,fd40e626-8700-4765-8bdb-f08c1dc2c321,Scdollie Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND66,MAINSTREAM,9,beige,DFC8B2,cardigan,2,cold_season,smooth,classic,straight,work,2
1710,7a8169c3-a14c-4f57-83de-e936aa2b9736,Onlnatalia Sweater stripes ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,blue_dark,00008b,sweaters,2,cold_season,horizontal_stripes,classic,tight,freetime,2
1714,735761e6-8f79-43c9-8279-a7af97fe00eb,Vilucy Tshirt fav ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,blue_dark,00008b,tops,2,warm_season,smooth,classic,straight,freetime,2
1715,1fcbea61-3489-400b-b045-4789c81311c9,Sarah Pant short ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND15,WHOLE_SALE,9,blue_dark,00008b,,2,warm,smooth,classic,straight,freetime,1
1716,44615d8b-0696-4614-b751-084b15b653af,Viril Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,gray_light,D3D3D3,cardigan,2,cold_season,smooth,casual,straight,work,2
1717,44615d8b-0696-4614-b751-084b15b653af,Viril Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,black,000000,cardigan,2,cold_season,smooth,casual,straight,work,2
1731,ea066366-32eb-4b0b-a27c-d4648d3644e1,Objzoe Shirt burnt,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND101,NO_MAINSTREAM,9,khaki,666633,blouse,2,warm_season,smooth,classic,straight,work,2
1732,f14f4932-9a0e-4a3a-998d-26b0f3454c4d,Onlarya Sweater nc ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,black,000000,sweaters,2,cold,smooth,boho,loose,freetime,2
1736,ca2809e9-d314-433f-ad33-01ad8f24c6ad,Carmelanie Jacket leather ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,black,000000,,2,cold_season,smooth,street,straight,freetime,3
1737,f14f4932-9a0e-4a3a-998d-26b0f3454c4d,Onlarya Sweater nc ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,beige,DFC8B2,sweaters,2,cold,smooth,boho,loose,freetime,2
1739,627a28fd-a581-4c9f-999a-c08fd24ad9c6,Moon Bag leather ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND54,MAINSTREAM,9,black,000000,,2,warm_season,smooth,boho,,work,3
1742,f14f4932-9a0e-4a3a-998d-26b0f3454c4d,Onlarya Sweater nc ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,lilac,BBA9E4,sweaters,2,cold,smooth,boho,loose,freetime,2
1748,a00b1960-9eba-4593-a3cb-cd8727765cba,Vilacal Tshirt lace ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND55,MAINSTREAM,9,grey_dark,5F5E5E,sweaters,3,cold,smooth,street,straight,freetime,2
1749,374b5e53-31bd-4752-bf77-ddb9bf6823e1,Byralina Sweater pullover ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND76,MAINSTREAM,9,blue_turquoise,40E0D0,sweaters,2,cold_season,smooth,casual,loose,freetime,2
1750,e6ca4f03-d6af-407c-9332-4463d1e44c4b,Vianna T-shirt solid ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND83,MAINSTREAM,9,blue_dark,00008b,t-shirts,2,warm_season,smooth,casual,loose,work,2
1756,e86adf8c-a482-4f55-adc0-97e709ff6a45,Pime Pant solid ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND117,NO_MAINSTREAM,9,khaki,666633,,2,warm_season,smooth,casual,tight,work,1
1757,d8bd306e-67f1-4250-9e5e-7669183d15f4,Majollica Top summer ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,yellow_light,fdf7b2,tops,2,warm,smooth,classic,straight,work,2
1759,da6ef4ae-381b-43d7-b329-3a7d7c20bd2a,Onlida Jeans midwaist ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND119,MAINSTREAM,9,black,000000,,2,cold_season,smooth,street,tight,freetime,1
1761,e86adf8c-a482-4f55-adc0-97e709ff6a45,Pime Pant solid ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND117,NO_MAINSTREAM,9,fuchsia,FF00A8,,2,warm_season,smooth,casual,tight,work,1
1768,eae35612-edb1-4ef2-a4cb-a243623c0461,Beckett Top floral ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND125,OWN_PRODUCTION,9,blue_dark,00008b,tops,2,warm,floral,classic,straight,freetime,2
1769,3d9e3c18-739d-4d03-bba1-8dcc6a266958,Leeds Shirt grette ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND32,OWN_PRODUCTION,9,white,FFFFFF,shirt,2,cold_season,floral,classic,straight,work,2
1786,8c48bf86-18c6-45bb-9a53-3d4ae823d0d2,Dots Tshirt film ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND31,OWN_PRODUCTION,9,blue_dark,00008b,tops,2,warm_season,polka_dot,classic,straight,work,2
1787,1612cad7-b3ff-4c18-91d5-237795578050,Tilda Top majolica,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,white,FFFFFF,tops,2,warm,smooth,classic,straight,freetime,2
1789,668664e1-c4d2-4257-ac05-a97800e30808,Sandshell Short jeans ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND121,NO_MAINSTREAM,9,beige,DFC8B2,,3,warm,animal_print,boho,straight,freetime,1
1790,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,green_dark,164A0A,blouse,2,warm_season,smooth,classic,straight,work,2
1795,207d3543-a8d7-4751-a311-ac6d639deccb,Onlskylar Sweater knt ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,orange,FFA500,sweaters,3,warm_season,smooth,night,loose,night,2
1796,ddc2ac8e-c57f-46f4-b80e-d5d5dcaccddd,Leeone Shirt pocket ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND138,PREMIUM,9,blue_light,87CEFA,shirt,2,warm_season,bodoque,classic,straight,work,2
1807,6ec08130-39b4-45de-a77c-9cf363a51b5f,Onlblush Jeans life ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND119,MAINSTREAM,9,blue_light,87CEFA,,3,warm_season,smooth,street,tight,freetime,1
1811,b6e75c9b-aa4f-400b-82a3-3dbd35c3539b,Line Dress closet ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND148,NO_MAINSTREAM,9,black,000000,,2,cold_season,smooth,classic,tight,working_girl,1
1813,538893d2-e883-4e92-86d8-cf1a51fe2ca4,Silby Top film ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND31,OWN_PRODUCTION,9,black,000000,tops,2,warm,smooth,night,straight,work,2
1844,f8509c25-23cc-45b4-a6f1-de8bed570712,Mafa Sweater wint ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND89,MAINSTREAM,9,black,000000,cardigan,2,cold_season,smooth,classic,straight,freetime,2
1845,f8509c25-23cc-45b4-a6f1-de8bed570712,Mafa Sweater wint ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND89,MAINSTREAM,9,blue_dark,00008b,cardigan,2,cold_season,smooth,classic,straight,freetime,2
1849,c7fc5ad0-6e1e-4d43-b7a2-16262463737d,Onltahoe Parka noos,35405a7d-7018-440b-9d16-76206ac3e224,BRAND119,MAINSTREAM,9,beige,DFC8B2,,2,cold_season,smooth,classic,tight,freetime,3
1851,eaf12527-f8ea-453e-94bb-6d2436f4cb5a,Jane Jeans skinny ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND90,MAINSTREAM,9,white,FFFFFF,,2,warm_season,smooth,street,tight,freetime,1
1855,e305f1ec-108f-41fc-9218-7d043f69c601,Jers Cardigan zeze ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND74,MAINSTREAM,9,blue,000081,cardigan,1,cold_season,smooth,minimal,straight,freetime,2
1857,468e0495-433e-454f-9b75-427982a4c5c8,Tube Skirt leather ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND32,OWN_PRODUCTION,9,taupe,9A8176,,3,cold,smooth,boho,tight,freetime,1
1859,82aab0f9-ece1-46f2-95d6-8d7cfccb4783,Visuvita Dress dots ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND55,MAINSTREAM,9,blue_dark,00008b,,2,cold_season,miniprint,classic,straight,freetime,1
1860,41f93293-36f4-47f0-9988-7b0dc2665ada,Pckodo Tshirt stripes ,3087da56-5a27-4e58-aea7-1555c640f232,BRAND142,MAINSTREAM,9,brown,462C0E,hoodies,2,cold_season,horizontal_stripes,casual,loose,freetime,2
1861,a45fa3ff-46e1-4aae-958e-76697b6905d5,Scallop Cardigan edge ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND54,MAINSTREAM,9,black,000000,cardigan,2,cold_season,smooth,minimal,tight,work,2
1862,4dc4d82a-4f8a-46ca-b8ac-05342b66c960,French Skirt farmhouse ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND134,MAINSTREAM,9,blue_dark,00008b,,3,warm,floral,boho,straight,work,1
1863,189276bd-07fb-48ff-b20d-c3b0ba835981,Stripe Dress jersey ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND54,MAINSTREAM,9,black,000000,,2,warm,horizontal_stripes,casual,straight,work,1
1871,2c9c7c84-e8c3-4425-98e3-1648b51d46bc,Tiwa Pant one ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND19,MAINSTREAM,9,black,000000,,2,warm_season,smooth,casual,tight,freetime,1
1881,532ee55e-8150-43f8-aa7f-d676ac63da8a,Nessy Cardigan grette ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND32,OWN_PRODUCTION,9,grey,808080,cardigan,2,cold,smooth,boho,loose,freetime,2
1882,f5b166ac-204a-448b-b91a-6d6ec247831e,Hawk Top bohck ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND97,OWN_PRODUCTION,9,coral,E65A5B,t-shirts,2,warm,smooth,casual,tight,freetime,2
1894,fda3a0e4-2b8d-4762-9eee-f71350beae7b,Acom Jacket port ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND76,MAINSTREAM,9,black,000000,,3,cold_season,smooth,classic,straight,freetime,3
1895,f5b166ac-204a-448b-b91a-6d6ec247831e,Hawk Top bohck ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND97,OWN_PRODUCTION,9,black,000000,t-shirts,2,warm,smooth,casual,tight,freetime,2
1899,fda3a0e4-2b8d-4762-9eee-f71350beae7b,Acom Jacket port ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND76,MAINSTREAM,9,green,008000,,3,cold_season,smooth,classic,straight,freetime,3
1905,56f2c7b0-e19e-426d-8af2-1107b0483e56,Lalo Skirt film ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND31,OWN_PRODUCTION,9,blue_dark,00008b,,3,warm,sheets,boho,loose,freetime,1
1919,350b09b1-9156-468f-a7e8-b99cec0d6f6e,Cherry Pant plain T. L C. brown,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND15,WHOLE_SALE,9,gray_light,D3D3D3,,2,cold_season,smooth,classic,straight,work,1
1923,45a100ff-3418-41ee-9875-017c6b251346,Almond Shirt print ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND91,WHOLE_SALE,9,green,008000,shirt,2,warm_season,miniprint,classic,straight,work,2
1928,ef797409-75c2-4f54-951a-f0af522ac8c3,Rebecca Jeans denim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND106,WHOLE_SALE,9,grey_dark,5F5E5E,,2,warm_season,smooth,casual,tight,freetime,1
1944,956572ed-7e72-4132-93a1-1f7621f54b67,Kate Pant mazarine ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND89,MAINSTREAM,9,black,000000,,3,warm_season,smooth,street,straight,freetime,1
1953,956572ed-7e72-4132-93a1-1f7621f54b67,Kate Pant mazarine ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND89,MAINSTREAM,9,blue_dark,00008b,,3,warm_season,smooth,street,straight,freetime,1
1956,b0979cd7-fe6f-4e51-aec7-21aaad00fc06,Carawesome Pant aw ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND39,MAINSTREAM,9,black,000000,,2,cold_season,smooth,classic,straight,work,1
1960,1a7f5799-667e-43b3-b50f-f9aeaced739a,Lena Jacket colors ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND106,WHOLE_SALE,9,rust,B94600,,2,warm_season,smooth,casual,tight,freetime,3
1963,366d3eef-9767-4d3f-9d2e-383752e0f5bb,Byrexima Tshirt vneck ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND76,MAINSTREAM,9,ecru,ECE9D6,t-shirts,1,warm,smooth,casual,straight,freetime,2
1969,fe45050d-1e6d-4fd1-bebc-88fb51a1fd36,Florida Trench sof ,07bee010-39f3-4200-9250-c1524842e6a6,BRAND116,WHOLE_SALE,9,blue_dark,00008b,,2,cold_season,smooth,classic,straight,work,3
1972,d8bd306e-67f1-4250-9e5e-7669183d15f4,Majollica Top summer ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,blue_dark,00008b,tops,2,warm,smooth,classic,straight,work,2
1980,08a1dad1-2c35-4062-8a88-4c96fa50fdd3,Carsherry Jacket out,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,blue_klein,0000FF,,2,cold_season,smooth,street,straight,freetime,3
1981,fab4dd0c-6120-4166-91bd-4e7e65140ded,Mcoup Sweater solid,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND70,NO_MAINSTREAM,9,green_dark,164A0A,sweaters,3,warm_season,smooth,classic,tight,work,2
1988,54899825-fb1d-4d23-89d2-1f28aa6ff6b6,Apais Tshirt mila ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND12,NO_MAINSTREAM,9,white,FFFFFF,t-shirts,2,warm,smooth,boho,straight,freetime,2
1995,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,blue_klein,0000FF,blouse,2,warm_season,smooth,classic,straight,work,2
1996,b50bf138-96fa-4a9b-b093-1f39d72fd644,Real Jacket print ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND60,WHOLE_SALE,9,green_dark,164A0A,,3,warm_season,retro,street,loose,freetime,3
1999,b092f652-bde5-4299-b1ca-d282e2dff6d8,Yula Top akoz ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND73,WHOLE_SALE,9,white,FFFFFF,tops,2,warm_season,smooth,classic,straight,night,2
2000,2613eddd-331c-4d88-9fb3-35f57473a463,Mushroom Skirt midi ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND134,MAINSTREAM,9,black,000000,,3,warm_season,smooth,classic,straight,work,1
2001,b092f652-bde5-4299-b1ca-d282e2dff6d8,Yula Top akoz ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND73,WHOLE_SALE,9,green_dark,164A0A,tops,2,warm_season,smooth,classic,straight,night,2
2008,4aa3043e-354c-46db-828b-fdc254eaaf4b,Heather Jacket bomber ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND15,WHOLE_SALE,9,blue_dark,00008b,,2,warm_season,smooth,street,loose,freetime,3
2009,f159557b-d75e-4ebb-b00e-34677fe6e24b,Gladis Shirt solid ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND15,WHOLE_SALE,9,white,FFFFFF,blouse,2,warm_season,smooth,boho,loose,freetime,2
2024,18a472b6-f3a7-4915-9d54-6a2137b3d818,Side Jeans denim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND165,WHOLE_SALE,9,ecru,ECE9D6,,3,warm_season,smooth,classic,tight,freetime,1
2032,50a165f9-0bfc-49ea-a48b-09ff0e072827,Vibibi Pant rwsl ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND55,MAINSTREAM,9,blue_light,87CEFA,,2,warm_season,vertical_stripes,casual,straight,freetime,1
2044,cb97b1da-167e-4f04-83a0-5aea83177eb7,Alexa Jeans milan ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND174,PREMIUM,9,gray_light,D3D3D3,,2,warm_season,smooth,street,tight,work,1
2052,0235bddf-aec1-4d1d-98b6-302be490e652,Objludmilla Shorts print ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND101,NO_MAINSTREAM,9,blue_klein,0000FF,,3,warm,ethnic,boho,loose,freetime,1
2057,6638b715-60c1-4c28-a27c-be879663b459,Pcangilica Top print ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND142,MAINSTREAM,9,brick,8e1d03,tops,2,warm,floral,boho,loose,work,2
2064,3b130bca-89b7-4e7b-9e6e-8d3b2503115e,Waves Top cerise,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND15,WHOLE_SALE,9,green_light,BBE2AD,tops,2,warm,smooth,boho,straight,work,2
2068,1612cad7-b3ff-4c18-91d5-237795578050,Tilda Top majolica,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,black,000000,tops,2,warm,smooth,classic,straight,freetime,2
2070,598ce1bc-5c0c-4bff-b195-2705aef7f5c7,Maf Sweater V ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND89,MAINSTREAM,9,blue_dark,00008b,cardigan,1,warm_season,smooth,classic,straight,freetime,2
2076,2ba971cc-b600-4166-be88-389df9123388,Shquesir Sweater vneck ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND163,NO_MAINSTREAM,9,ecru,ECE9D6,tops,2,warm_season,smooth,boho,straight,work,2
2079,2e7c9226-4f4d-4fdb-a91d-d60e4064bfc9,Bendine Jumpsuit giraffe ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND90,MAINSTREAM,9,black,000000,,3,warm,animal_print,street,straight,freetime,1
2080,5c6b1a15-6d28-45c5-92eb-d38bda40c89f,Clarise Shirt solid ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND99,WHOLE_SALE,9,white,FFFFFF,shirt,2,cold_season,smooth,classic,straight,freetime,2
2083,6551eb3c-683d-4a71-8d53-477b2cb2090b,Scarlett Jeans solid ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND138,PREMIUM,9,blue,000081,,2,warm_season,smooth,street,tight,work,1
2085,269f91d6-6551-484a-a62f-45172980003b,Nanni Pant ankle,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND131,MAINSTREAM,9,beige,DFC8B2,,3,warm_season,smooth,street,straight,freetime,1
2086,456974e6-7843-4000-aa17-fa9f7c567dce,Lila Tshirt film ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND31,OWN_PRODUCTION,9,blue_dark,00008b,tops,2,warm_season,sheets,classic,straight,freetime,2
2087,b6080901-0ae8-4674-bfad-1b8768ebba03,Charis Bag bohck ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND97,OWN_PRODUCTION,9,black,000000,,2,cold_season,animal_print,boho,,work,3
2088,100519f6-51be-4b37-ac9b-4ad98102a482,Nelly Cardigan bohck ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND97,OWN_PRODUCTION,9,beige,DFC8B2,cardigan,2,cold_season,,boho,straight,work,2
2090,dcedbab1-0eaf-49db-8ce3-195652a05122,Mila Sweater round ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND152,NO_MAINSTREAM,9,beige,DFC8B2,sweaters,2,cold,smooth,minimal,loose,work,2
2093,d364d50a-af06-4757-8b1e-ec028efc06e5,Sand Tshirt jsy ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND9,NO_MAINSTREAM,9,coral,E65A5B,t-shirts,1,cold_season,smooth,street,tight,freetime,2
2094,0cb6fead-d343-400c-bf5b-244c3bb1bd92,Saint Cardigan v-neck ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND152,NO_MAINSTREAM,9,salmon,F29985,cardigan,2,cold_season,smooth,classic,tight,work,2
2104,a539743f-558e-446e-8647-4f0c8a93c7ba,Veleta Jeans slim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND172,PREMIUM,9,blue_light,87CEFA,,2,warm_season,smooth,street,tight,work,1
